MAIN_ID,RA,DEC,RA_err,DEC_err,PMRA,PMRA_err,PMDEC,PMDEC_err,N_used,MAG_EXTRAPOL,m_F606W,m_F814W,m_F606W_err,m_F814W_err,BB_Lpmag,BBtemps
37195,6.034823978873502,-72.08458909999999,0.0,0.0,-0.39304,0.01708,-1.18808,0.01704,78,1.8050000000000104,14.285,13.505,9.9,9.9,13.179654819847006,7217859.347963073
15814,6.006078271033822,-72.09613413333332,0.0,0.0,0.65896,0.02852,-0.34012,0.03936,12,2.031999999999991,14.272,13.507,9.9,9.9,13.181654819847004,7217859.347963073
25335,6.105073988042132,-72.09018344444443,0.0,0.0,-0.24708,0.03656,-0.63008,0.05148,9,1.9749999999999979,14.279,13.51,9.9,9.9,13.184654819847005,7217859.347963073
60861,6.063437182790995,-72.0675312111111,0.0,0.0,-0.14664,0.04148,-0.50528,0.01928,9,2.020999999999999,14.277,13.511,9.9,9.9,13.185654819847004,7217859.347963073
37486,6.033075925464978,-72.0810517111111,0.0,0.0,0.18992,0.01204,0.51644,0.01364,66,1.963999999999979,14.284,13.514,9.9,9.9,13.188654819847004,7217859.347963073
31904,6.061250079072317,-72.09237696666666,0.0,0.0,0.59568,0.0432,0.98008,0.04256,10,2.2339999999999893,14.266,13.514,9.9,9.9,13.188654819847004,7217859.347963073
38493,6.028019727311477,-72.08781873333332,0.0,0.0,1.09536,0.0236,-0.17844,0.0366,43,1.8610000000000113,14.293,13.516,9.9,9.9,13.190654819847005,7217859.347963073
62629,6.05346261244436,-72.07024705555555,0.0,0.0,-0.6378,0.02476,-0.67816,0.15344,10,1.9380000000000237,14.29,13.518,9.9,9.9,13.192654819847005,7217859.347963073
40507,6.018565792817466,-72.08279643333333,0.0,0.0,-0.15816,0.015,1.01008,0.01388,68,1.9389999999999965,14.291,13.519,9.9,9.9,13.193654819847005,7217859.347963073
29722,6.073912798764994,-72.09286613333333,0.0,0.0,0.60648,0.04592,-0.04128,0.04168,10,2.2399999999999896,14.272,13.52,9.9,9.9,13.194654819847004,7217859.347963073
10802,6.039726891752198,-72.09780512222221,0.0,0.0,0.05452,0.04368,-0.18428,0.05028,12,2.0610000000000106,14.285,13.521,9.9,9.9,13.195654819847006,7217859.347963073
8897,6.053262109065329,-72.0995504111111,0.0,0.0,0.15468,0.01684,0.70488,0.06408,12,2.1360000000000223,14.28,13.521,9.9,9.9,13.195654819847006,7217859.347963073
59841,6.069373899397287,-72.07419739999999,0.0,0.0,0.21152,0.07764,0.15144,0.02468,10,2.047999999999991,14.288,13.523,9.9,9.9,13.197654819847005,7217859.347963073
37071,6.034138911157844,-72.09194806666666,0.0,0.0,-1.15892,0.0524,-0.08532,0.01816,9,2.0050000000000168,14.293,13.525,9.9,9.9,13.199654819847005,7217859.347963073
31944,6.062003895986838,-72.08918595555555,0.0,0.0,-0.12668,0.0342,0.43416,0.01356,10,1.8700000000000117,14.302,13.525,9.9,9.9,13.199654819847005,7217859.347963073
36142,6.0386578940053965,-72.08901936666666,0.0,0.0,0.11728,0.01704,-0.67836,0.01164,17,1.8269999999999822,14.307,13.527,9.9,9.9,13.201654819847004,7217859.347963073
12440,6.028735295101583,-72.09676869999998,0.0,0.0,0.4662,0.058,0.3344,0.07664,12,2.0539999999999914,14.294,13.529,9.9,9.9,13.203654819847005,7217859.347963073
